curvature_1_per_m,moment_kN_m
-0.018721562544237003,-1214.8509039627875
-0.016263073882546185,-1056.4550746780824
-0.013788454986666056,-895.7959998325131
-0.011300160262363343,-733.1929193547736
-0.008800657679526364,-568.9832554671129
-0.006292426324354259,-403.51980057825017
-0.0037779539405202577,-237.1675396675766
-0.0012597344617486256,-70.3001759309405
0.0012597344617485862,96.70355913210128
0.0037779539405202894,263.3010886802032
0.00629242632435422,429.0156801673459
0.008800657679526326,593.4842716407928
0.011300160262363303,756.3573770051438
0.01378845498666609,917.3021109918673
0.016263073882546147,1076.0048118921895
0.018721562544236965,1232.1732178281568
0.02116148256445152,1385.538169418251
0.02358041395287234,1535.8548286839944
0.025975957536374664,1682.9034200823164
0.028345737338603072,1826.4895139173545
0.030687402936540247,1966.4438845441498
0.03299863179173113,2102.6219853808607
0.03527713155385086,2234.9030896437293
0.037520642334330466,2363.189149935279
0.03972693894778646,2487.403431524266
0.04189383311903022,2607.4889736409145
0.04401917565346932,2723.4069307336126
0.046100858568746954,2835.1348417917848
0.04813681718550573,2942.6648709394776
0.0501250321752027,3046.0020569302114
0.05206353156294346,3145.162603272067
0.05395039268334968,3240.172234778288
0.05578374408751963,3331.0646406101573
0.05756176739919102,3417.880018535758
0.059282699118264344,3500.6637302947015
0.06094483236989819,3579.465073710785
0.06254651859744237,3654.3361735653984
0.06408616919752863,3725.3309902342517
0.06556225709569811,3792.504442673456
0.06697331826100228,3855.9116404739707
0.06831795315807558,3915.6072183309725
0.06959482813523907,3971.644765334875
0.07080267674725847,4024.0763409205115
0.07194030101144509,4072.9520690481218
0.073006572595853,4118.319802176328
0.0740004339383946,4160.2248467702375
0.07492089929576438,4198.7097424206395
0.07576705572113046,4233.8140870925345
0.07653806396962438,4265.574401539475
0.07723315933073074,4294.024026486551
0.07785165238675157,4319.193046777613
0.0783929296965926,4341.108237284303
0.07885645440419384,4359.793025973566
0.07924176677100025,4375.267470117603
0.07954848463194533,4387.548242200394
0.0797763037744944,4396.648622625349
0.0799249982403724,4402.5784968583785
0.07999442054967638,4405.344355151304
0.07998450184715089,4404.930890506042
0.07989525197048072,4401.208761691898
0.07972675944053359,4394.17344793571
0.07947919137356237,4383.816428345748
0.0791527933154538,4370.125193883499
0.07874788899818834,4353.08326677152
0.07826488001875247,4332.670229333982
0.07770424544082197,4308.861764922165
